ISP,Country,ASN
UnitedNetworksLtd.,BY,AS50685 United Networks Ltd.
Nordltd.,BY,AS60770 Nord ltd.
M247Ltd,DE,AS9009 M247 Ltd
ParknetF.M.B.A.,DK,AS197301 Parknet F.M.B.A.
TelenorA/S,,
TDCDanmark,DK,AS3292 TDC A/S
SetarAruba,AW,AS11816 SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V.
OneCommunicationsBermuda,BM,AS3855 Internet Bermuda Limited
Hondutel,HN,AS7727 Hondutel
CablecolorS.A.,GT,AS22869 CABLECOLOR S.A.
INETCommunication,HN,AS263686 INET Communication
Datos,HN,AS262146 Datos
TigoHonduras,HN,AS52262 Telefónica Celular S.A
VelcoGlobalnetwork,HN,AS52422 Velco Globalnetwork
NewcomLimited,HN,AS20299 Newcom Limited
MillicomCableHondurasS.A.deC.V.,HN,AS52262 Telefónica Celular S.A
MillicomCableHonduras,HN,AS20299 Newcom Limited
ClaroHonduras,HN,AS14754 Telgua
Metronet,HN,AS262262 METRONET
SOMCABLELTD,SO,AS37425 SomCable
Amtel,SO,AS328319 AMTEL LTD
SOMTEL,SO,AS37563 SOMTEL INTERNATIONAL Ltd
HORMUUD,SO,AS37371 Hormuud Telecom Somalia INC
Somtel-Somalia,SO,AS37563 SOMTEL INTERNATIONAL Ltd
Somlink-Wireless,SO,AS328590 Somlink Wireless Network
Gamtele,GM,AS25250 Gamtel Co.
NETPAGE,GM,AS37323 Netpage Company Limited
QCell,GM,AS37309 QCell Limited
PTIPacifica,MP,AS7131 PTI Pacifica Inc.
Lumen,CO,"AS3549 Level 3 Parent, LLC"
Flow,BB,AS14813 Columbus Telecommunications (Barbados) Limited
AntiguaComputerTechnologyCo.,AG,AS19246 Antigua Computer Technology Co. Ltd.
APUA,AG,AS11594 APUA
FSM,FM,AS139759 FSM Telecommunications Corporation
KDSKABELNET,MK,AS44566 KDS-Kabel Net DOOEL
A1Makedonija,MK,AS57374 Company for communications services A1 Makedonija DOOEL Skopje
MakedonskiTelekomAD-Skopje,MK,AS6821 Makedonski Telekom AD-Skopje
Multimedia-netDooSkopje,MK,AS206666 MULTIMEDIA-NET DOO SKOPJE
NeotelMacedonia,MK,AS34772 NEOTEL DOO export-import Skopje
INTERSPACEDOOELSkopje,MK,AS200899 INTERSPACE DOOEL Skopje
EconetTelecomLesotho,LS,AS33567 Econet Telecom Lesotho (PTY) LTD
Vodacom-lesotho,LS,AS37057 Vodacom Lesotho (Pty) Ltd
TelecomNamibia,NA,AS36996 Telecom Namibia
Paratus-Telecom,AO,AS33763 Internet Technologies Namibia
SFR,RE,AS49902 SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS
Orange,JO,AS8376 Jordan Data Communications Company LLC
Mediaserv,RE,AS21351 Canal + Telecom SAS
Zeop,RE,AS37002 Reunicable SAS
Vini,PF,AS9471 ONATI
OrangeMali,ML,AS30985 Orange Mali SA
VtelHoldingsLimited/jordanCo.,,
BatelcoJordan,JO,AS9038 Batelco Jordan
OrangeJordan,,
ZainJordan,,
AirportInternationalGroup,,
DAMAMAXJordan,JO,AS47887 AL-HADATHEH LIL-ITISALAT WA AL-TECHNOLOGIA CO.
JordanianUniversitiesNetworkL.L.C.,,
JordanTelecommunicationsCompany,,
Almouakhahlilkhadamatallogesteihwaalitisal,,
"YouTube,LLC",,
JordanCableTVandInternetservices,,
UmniahMobileCompany,JO,AS9038 Batelco Jordan
HyundaiCommunicationsNetwork,JP,AS2516 KDDI CORPORATION
LGDACOMCorporation,KR,AS3786 LG DACOM Corporation
SaeroNetworkService,KR,AS9981 Saero Network Service LTD
Dong-AUniversirty,KR,AS9753 Dong-A Universirty
DLIVE,KR,AS10036 DLIVE
PohangUniversityofScienceandTechnology,KR,AS3784 Pohang University of Science and Technology
DreamlineCo.,KR,AS45374 CCS
YeungnamUniversity,KR,AS23980 Yeungnam University
SeokyungCableTelevisionCo.,KR,AS9694 Seokyung Cable Television Co.. Ltd.
GreenCableTelevisionStation,KR,AS9781 GREEN CABLE TELEVISION STATION
SKBroadband,KR,AS9318 SK Broadband Co Ltd
SKTelecom,KR,AS9644 SK Telecom
LGHelloVisionCorp.,KR,AS9845 LG HelloVision Corp.
CMBKwangjuBroadcasting,KR,AS10054 CMB Kwangju Broadcasting
BusanInstituteforFutureEducation,KR,AS9706 Busan Institute for Future Education
KonkukUniversityHospital,KR,AS38668 Konkuk University Hospital
HcnChungbukCableTvSystems,KR,AS9319 HCN CHUNGBUK CABLE TV SYSTEMS
LGUplus,KR,AS17853 LGTELECOM
KangNamCableTV,KR,AS9943 KangNam CableTV
LgPowercomm,KR,AS17858 LG POWERCOMM
CMB,KR,AS38680 CMB
KoreaTelecom,KR,AS4766 Korea Telecom
PusanNationalUniversity,KR,AS9274 Pusan National University
ChonnamNationalUniversity,KR,AS10197 Chonnam National University
NamincheonBrodcastingCo.,KR,"AS9976 Namincheon Brodcasting Co., Ltd."
T.H.GlobalVisionSARL,LB,AS59989 T.H. Global Vision SARL
MascoGroupLLC,LB,AS43824 Masco Group LLC
CBEYONDs.a.l,LB,AS206406 C BEYOND s.a.l
Brusknet,LB,AS9051 IncoNet Data Management sal
HiSpeedNetWorkS.a.r.l,LB,AS204356 HI SPEED NET WORK S.A.R.L
IncoNetDataManagementsal,LB,AS9051 IncoNet Data Management sal
VirtualISPs.a.l.,LB,AS35197 Virtual ISP s.a.l.
TopNetSARL,LB,AS42828 Top Net SARL
EagleNets.a.r.l.,LB,AS60372 EagleNet s.a.r.l.
BroadbandPlus,,
NetProsarl,LB,AS48206 Net Pro sarl
MoscanetSAL,LB,AS41833 Moscanet SAL
WavesS.a.l,LB,AS48847 WAVES S.A.L
farahnet,LB,AS43019 farahnet
FiberwavesS.A.L,LB,AS8699 Fiberwaves S.A.L
ProfessionalNetworkCorporation,LB,AS203827 Professional Network Corporation
Ferrari-NetworksSARL,,
TerraNetsal,LB,AS39010 TerraNet sal
Libantelecom,LB,AS42003 LIBANTELECOM
TVCaboAngola,AO,AS36907 TV CABO ANGOLA LDA
ZAP-Angola,AO,AS37645 Finstar - Sociedade de Investimento e Participacoes S.A
UNITEL,LA,AS131267 PO box T511 Phonexay road - Xaysettha district
TVCaboAngola,AO,AS36907 TV CABO ANGOLA LDA
Paratus-Telecom,AO,AS33763 Internet Technologies Namibia
EBONET,AO,"AS17400 MSTelcom-Mercury Servicos de Telecomunicacoes, S.A.R.L"
Angolatelecom,AO,AS11259 Angola Telecom
ServeTheWorld,NO,AS34989 ServeTheWorld AS
AltiboxAS,,
NTEBredband,NO,AS34087 NTE MARKED AS
SEVENNET,IQ,AS51018 Seven Net Layers for General Trading & Information Technology LTD.
TeliaNorgeAS,NO,AS41164 Telia Norge AS
TelenorSatellite,NO,AS43905 Telenor Satellite AS
GVA-Canalbox,TG,AS36924 GVA Cote d'Ivoire SAS
Gabon-Telecom,GA,AS16058 Gabon Telecom / Office of Posts and Telecommunications of Gabon
TelecomEgypt,EG,AS8452 TE-AS
Mobily,SA,"AS35819 Etihad Etisalat, a joint stock company"
ZainSaudiArabia,SA,AS43766 Mobile Telecommunication Company Saudi Arabia Joint-Stock company
ArabianInternet&CommunicationsServicesCo.ltd,SA,AS25233 ARABIAN INTERNET & COMMUNICATIONS SERVICES CO.LTD
GOSaudiArabia,SA,AS48695 Etihad Atheeb Telecom Company
KingAbdulazizUniversity(KAU)-DeanshipofInfo,SA,AS15505 King Abdulaziz University (KAU) - Deanship of Information Technology
SaudiNet,SA,AS39891 Saudi Telecom Company JSC
IntegratedTelecomCo.Ltd,SA,AS43766 Mobile Telecommunication Company Saudi Arabia Joint-Stock company
MaintenanceofNetwork&informationTechnologyCo,SA,AS212889 Maintenance of Network & information Technology Company LLC
ColumbusCommunicationsGrenada,GD,AS46650 Columbus Communications Grenada Ltd.
DigicelSamoa,WS,AS38800 Digicel Samoa Ltd
ComputerServicesLimitedCSL,WS,AS38227 Computer Services Limited (CSL)
VodafoneSamoaLimited,WS,AS17993 Vodafone Samoa Limited
EziNETLimited,TO,AS132831 EziNET Limited
TongaCommunicationsInternetNetwork,TO,AS38201 Tonga Communications Internet Network
WEB_GroupInternetINC,NL,AS200313 WEB GroupInternet INC
LLCOrdunet,GE,AS203136 LLC Ordunet
DeltaCommLLC,GE,AS44327 DELTA COMM LLC
MagticomLtd.,GE,AS16010 Magticom Ltd.
LTDCGCCo,GE,AS49129 LTD CGC Co
GeorgianairlinkLLC,GE,AS209046 Georgianairlink LLC
Symbolics,GE,AS34666 JSC Global Erty
CaucasusOnlineLtd.,GE,AS20771 Caucasus Online Ltd.
JSCSilknet,GE,AS35805 JSC Silknet
SystemNetLtd,GE,AS34797 System Net Ltd
LLCSkytel,GE,AS57768 LLC Skytel
AIRNETllc,GE,AS199469 AIRNET LLC
AlternetLtd,GE,AS49254 Alternet Ltd
TogoTelecom,TG,"AS24691 TogoTelecom, Togo"
GVA-Canalbox,RW,AS36924 GVA Cote d'Ivoire SAS
GibtelecomLtd.,GI,AS8301 Gibtelecom Ltd.
u-meeNetworksLtd,TW,AS24164 UNION BROADBAND NETWORK
TeleGreenland,GL,AS8818 Tele Greenland
NanoqMedia,GL,AS8818 Tele Greenland
Homeplus,TW,AS9416 Hoshin Multimedia Center Inc.
ChunghwaTelecom,TW,AS3462 Data Communication Business Group
SaveComInternation,TW,AS9676 SaveCom Internation Inc.
TaiwanAcademicNetwork,TW,AS1659 Taiwan Academic Network (TANet) Information Center
UnionBroadbandNetwork,TW,AS24164 UNION BROADBAND NETWORK
TWNBroadband,TW,"AS9924 Taiwan Fixed Network, Telco and Network Service Provider."
NewCenturyInfoCommTechCo.,TW,"AS9919 New Century InfoComm Tech Co., Ltd."
FarEasTone,TW,"AS9674 Far EastTone Telecommunication Co., Ltd."
SeedNet,TW,AS4780 Digital United Inc.
SonyNetworkTaiwanLimited,TW,AS18182 Sony Network Taiwan Limited
GCNetReach&Range,TW,AS4662 GCNet (Reach & Range Inc.)
AsiaPacificOn-lineService,TW,AS7482 Asia Pacific On-line Service Inc.
TBC,TW,AS131596 TBC
kbro,TW,AS38841 kbro CO. Ltd.
AlandsTelekommunikationAb,FI,AS3238 Alands Telekommunikation Ab
SatTelecommunications,DM,AS40945 SAT TELECOMMUNICATIONS LTD
Flow,BB,AS14813 Columbus Telecommunications (Barbados) Limited
Digicel,AG,AS33576 Digicel Jamaica
ColumbusNetworksUSA,JM,AS30689 FLOW
OutremerTelecomSASU,FR,AS20776 Outremer Telecom SASU
Mediaserv,GP,AS21351 Canal + Telecom SAS
Orange,PL,AS5617 Orange Polska Spolka Akcyjna
UnitedTelecommunicationServicesUTS,CW,AS11081 United Telecommunication Services (UTS)
ColumbusCommunicationsCuracaoNV,CW,AS52233 Columbus Communications Curacao NV
DigicelCuracao,CW,AS27660 Curacao Telecom
M247Ltd,DE,AS9009 M247 Ltd
BahnhofAB,SE,AS8473 Bahnhof AB
TelenorSverigeAB,SE,AS2119 Telenor Norge AS
Telia,EE,AS3249 Telia Eesti AS
Tele2Sweden,SE,AS39651 Tele2 Sverige AB
Iwayafrica-zambia,ZM,AS37379 Africa Online Operations (Mauritius) Limited
"UUNETAfrica,LusakaZambia",BE,AS28698 MTN SA
AirtelZambia,ZM,AS37287 Zain Zambia PLC
TelefoniaBonairianoN.V.,BQ,AS27745 Telefonia Bonairiano N.V.
AirtelMalawi,MW,AS37440 Airtel Malawi Ltd
TNM,MW,AS37294 TELEKOM NETWORKS MALAWI LTD
DjiboutiTelecom,DJ,AS30990 DJIBOUTI TELECOM S.A.
AirtelBroadband,IN,"AS24560 Bharti Airtel Ltd., Telemedia Services"
ADSRoyalnetCommunicationPvt,,
KeralaVisionBroadBandPrivateLimited,IN,AS138754 Kerala Vision Broad Band Private Limited
TataTeleservicesMaharashtra,IN,AS134540 Tata Teleservices (Maharashtra) Ltd
OmkarInfotech,IN,AS132751 Omkar Infotech
HybridInternet,IN,AS141253 Hyosec Solutions Private Limited
TataPlayFiber,IN,AS134674 TATA PLAY BROADBAND PRIVATE LIMITED
SdhNetworkPvt,IN,AS135258 Sdh Network Pvt Ltd
TikonaInfinet,IN,AS45528 Tikona Infinet Ltd.
GujaratInformaticsLimited,IN,AS133260 Gujarat Informatics Limited
SysconInfoway,IN,AS45194 Syscon Infoway Pvt. Ltd.
GTPLBroadband,IN,AS45271 Idea Cellular Limited
MicroscanComputersPrivateLimited,IN,AS55352 Microscan Computers Private Limited
HonestyNetSolutionIPvt,IN,AS38457 Honesty Net Solution (I) Pvt Ltd
WishNetPrivateLimited,IN,AS45775 WISH NET PRIVATE LIMITED
AnjaniBroadbandSolutionsPvt.ltd.,IN,AS58965 ANJANI BROADBAND SOLUTIONS PVT.LTD.
BSNL,IN,AS9829 National Internet Backbone
OneottIntertainmentLimited,IN,AS17665 ONEOTT INTERTAINMENT LIMITED
JuweriyahNetworksPrivateLimited,IN,AS138296 Juweriyah Networks Private Limited
MithrilTelecommunicationsPrivateLimited,IN,AS140174 MITHRIL TELECOMMUNICATIONS PVT. LTD.
AironetBroadbandPrivateLimited,IN,AS141538 Aironet Broadband Private Limited
SyncnetTechnologiesPrivateLimited,IN,AS149272 SYNCNET TECHNOLOGIES PRIVATE LIMITED
MahanagarTelephoneNigam,IN,AS17813 Mahanagar Telephone Nigam Limited
Excitel,IN,AS133982 Excitel Broadband Private Limited
CtrlS,IN,AS18229 CtrlS Datacenters Ltd.
SpeedCommunication,IN,AS134937 Speed Communicaion
NationalInformaticsCentre,,
TataTeleservicesISP,IN,AS45820 Tata Teleservices ISP AS
VodafoneIdea,IN,AS45271 Idea Cellular Limited
NetsatCommunicationsPrivateLimited,,
QuadrantTeleventuresLimited,IN,AS17917 Quadrant Televentures Limited
RainbowcommunicationsIndiaPvt,IN,AS58898 Rainbow communications India Pvt Ltd
Tripleplay,IN,AS132453 TRIPLE PLAY BROADBAND PRIVATE LIMITED
RadinetInfoSolutionsPrivateLimited,IN,AS138277 Radinet Info Solutions Private Limited
NissInternetservicesprivatelimited,IN,AS132774 Niss Internet services private limited
RailTelCorporationOfIndiaLtd.,IN,AS24186 RailTel Corporation of India Ltd
Zscaler,IN,"AS53813 ZSCALER, INC."
IntechOnlinePrivateLimited,IN,AS58678 Intech Online Private Limited
BlueSkyBroadbandPvt.,IN,AS134945 Blue Sky Broadband Pvt. Ltd.
SpeedostarTelcoPrivateLimited,,
Airtel,RW,AS327707 Airtel Rwanda Ltd
GazonCommunicationsIndiaLimited,IN,AS132770 Gazon Communications India Limited
Hathway,IN,AS17488 Hathway IP Over Cable Internet
AllianceBroadbandServicesPvt.,IN,AS23860 Alliance Broadband Services Pvt. Ltd.
MNRBroadbandServicesPvt.,IN,AS133648 MNR Broadband Services Pvt. Ltd.
NKNCoreNetwork,IN,AS55824 NKN Core Network
KNetSolutionsPvt,IN,AS135247 K Net Solutions Pvt Ltd
SRMNagar,IN,AS131473 SRM Nagar
MicrosoftCorporation,US,AS8075 Microsoft Corporation
Ultranetservicesprivatelimited,IN,AS134026 Ultranet services private limited
AllianceBroadbandServicesPrivateLimited,,
DENBroadband,IN,AS45184 Den Digital Entertainment Pvt. Ltd. AS ISP india
FoxcellCommunicationPvt,IN,AS135227 Foxcell Communication Pvt Ltd
ThreesaInfowayPvt.Ltd.,IN,AS132996 Threesa Infoway Pvt.Ltd.
Jio,IN,AS55836 Reliance Jio Infocomm Limited
AniNetwork,IN,AS132116 Ani Network Pvt Ltd
Excellmedia,IN,AS17754 Excellmedia
MoradabadInternetServicesPrivateLimited,IN,AS135182 MORADABAD INTERNET SERVICES PRIVATE LIMITED
ZoomNet,IN,"AS138607 CAMBO (HK) TECHNOLOGY (I.S.P) CO., LIMITED"
UCNFibrenetPvt.Ltd,IN,AS133007 UCN CABLE NETWORK PVT. LTD
RealtelNetworkServicesPvt,IN,AS132754 Realtel Network Services Pvt Ltd
FusionnetWebServicesPrivateLimited,,
NirijaSolutionsPrivateLimited,IN,AS139567 Nirija Solutions Private Limited
AirgenieCommunicationsPrivateLimited,IN,AS134021 Airgenie Communications Private Limited
ShyamSpectraPvt,IN,AS10029 SHYAM SPECTRA PVT LTD
DeshkalNetwork,IN,AS132559 Gatik Business Solutions
A2jDataServicesPvt.,IN,AS138298 A2j Data Services Pvt. Ltd.
Fusionnet,IN,AS134375 Fusionnet Web Services Private Limited
Asianet,IN,AS17465 Cable ISP in India
NetplusBroadband,IN,AS133696 Fastway Transmission Private Limited
Wan&LanInternetPvt,IN,AS55862 Wan & Lan Internet Pvt Ltd
Cloudflare,IN,"AS13335 Cloudflare, Inc."
SitiNetworks,IN,AS17747 SITI NETWORKS LIMITED
AdnBroadband,IN,AS135738 Adn Broadband
MeghbelaBroadband,IN,AS45804 MEGHBELA BROADBAND
Ishan,IN,AS45117 Ishan's Network
AndhraPradeshStateFiberNetLimited,IN,AS133287 Andhra Pradesh State FiberNet Limited
DigitalCloudTechnologiesPrivateLimited,IN,AS133993 Digital Cloud Technologies Private Limited
CloudflareWarp,SG,"AS13335 Cloudflare, Inc."
HomeSystemsPvt.ltd,IN,AS55832 HOME SYSTEMS PVT.LTD
IntechOnlinePvtLtd,,
VizagBroadcastingCompanyPvt.,IN,AS133593 VIZAG BROADCASTING COMPANY PVT. LTD
LalatInternetServicePvt,IN,AS141339 Lalat Internet Service Pvt Ltd
GalaxynetConnectionsPrivateLimited,IN,AS135852 Galaxynet Connections Private Limited
ACTFibernet,IN,AS131269 ACTFIBERNET Pvt Ltd
RedkingIndiaItServicesPrivateLimited,IN,AS136673 Redking India It Services Private Limited
SpiderlinkNetworksPvt,,
StreamonnInternetServicesPrivateLimited,IN,AS138227 Streamonn Internet Services Private Limited
GtplKcbplBroadbandPvt,IN,AS135872 GTPL KCBPL BROADBAND PVT LTD
GiganticInfotelPvt,IN,AS133275 Gigantic Infotel Pvt Ltd
VainaviIndusties,IN,"AS45582 VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA"
skynetinternet,IN,AS138774 Skynet Internet
MicrotalkCommunicationsPvt,IN,AS136374 Microtalk Communications Pvt Ltd
ZoramBusinessEnterprisePrivateLimited,IN,AS133714 Zoram Business Enterprise Private Limited
KingsBroadbandPvt,IN,AS132976 Kings Broadband Pvt Ltd
TataCommunications,IN,AS4755 TATA Communications formerly VSNL is Leading ISP
Preciousnetcompvt,IN,AS133676 Precious netcom pvt ltd
BittelTelecomPvt,,
MulticraftDigitalTechnologiesPrivateLimited,IN,AS135834 Multicraft Digital Technologies Private Limited
SevenStarInternetServiceProvider,IN,AS18196 Seven Star Internet Service Provider
HireachBroadbandPrivate,IN,AS134033 HIREACH BROADBAND PRIVATE LTD
UserlinksNetcomPvt.,IN,AS135761 Userlinks Netcom Pvt. Ltd.
InterdomainRouting,IN,AS18002 AS Number for Interdomain Routing
Orange,,
FreeSAS,FR,AS12322 Free SAS
OVHSAS,CA,AS16276 OVH SAS
IguaneSolutionsSAS,FR,AS39605 Iguane Solutions SAS
TefincomS.A.,US,AS136787 TEFINCOM S.A.
CloudExisLLC,FR,AS205421 CloudExis LLC
OuihebergSarl,FR,AS208226 OUIHEBERG SARL
MicrosoftCorporation,US,AS8075 Microsoft Corporation
SFR,FR,AS15557 SFR SA
GoogleCloud,FR,AS396982 Google LLC
FreeMobileSAS,FR,AS51207 Free Mobile SAS
CloudflareWarp,SG,"AS13335 Cloudflare, Inc."
Amazon.com,FR,"AS16509 Amazon.com, Inc."
FEELBSARL,FR,AS207992 FEELB SARL
BouyguesTelecom,FR,AS5410 Bouygues Telecom SA
CelesteSAS,FR,AS34177 CELESTE SAS
LibyaTelecom&Technology,LY,AS21003 General Post and Telecommunication Company (GPTC)
Libyana-Mobile,LY,AS328286 Libyana Mobile Phone Company JSC
Giga-Communication,UA,AS43633 Gigabit-Online LLC
Abraj-Libya,LY,AS328619 Abraj Libya Co For Communications & information Technology
"ICONA,Ltd",LY,AS37566 ICONA for IT and Telecom. LTD Co
ICONA,LY,AS37566 ICONA for IT and Telecom. LTD Co
AljeelAljadeed,LY,AS37284 Aljeel Aljadeed For Technology
AljeelAljadeedforTechnology,LY,AS37284 Aljeel Aljadeed For Technology
Awal-Telecom,LY,AS328733 AWAL TELECOM & TECHNOLOGY
Al-Madar-Al-Jadeed,,
ICONAforITandTelecom.LTDCo,LY,AS37566 ICONA for IT and Telecom. LTD Co
Ion-Telecom,LY,AS328073 Ion Telecom and Technology
ZTBratislava,SK,AS25496 ZSR - ZT Bratislava
SlovakTelekom,SK,"AS6855 Slovak Telecom, a. s."
ZdruzeniepouzivatelovSlovenskejakademickejdato,SK,AS2607 Zdruzenie pouzivatelov Slovenskej akademickej datovej siete
OrangeSlovensko,SK,AS15962 Orange Slovensko a.s.
"SWAN,a.s.",SK,"AS5578 SWAN, a.s."
VodafoneGhana,GH,AS29614 Ghana Telecommunications Company Limited
WirelessPlus-3D,GH,AS328494 3D WIRELESS PLUS LIMITED
Busyinternet,GH,AS37103 BusyInternet Ghana Ltd
MTNGhana,GH,AS30986 Scancom Limited
"Teledata,Ghana",GH,"AS35091 Teledata, Ghana"
OrangeMoldova,MD,AS25454 ORANGE MOLDOVA S.A.
MoldtelecomSA,MD,AS8926 Moldtelecom SA
JSCCInterdnestrcom,MD,AS1547 Societatea mixta pe actiuni de tip inchis Interdnestrcom
UNIDATAS.p.A.,IT,AS5394 Unidata
DAMAMAXJordan,JO,AS47887 AL-HADATHEH LIL-ITISALAT WA AL-TECHNOLOGIA CO.
ArubaS.p.A.,IT,AS31034 Aruba S.p.A.
TelecomItalia,IT,AS3269 Telecom Italia S.p.A.
EOLO,IT,AS35612 EOLO S.p.A.
Fastweb,IT,AS12874 Fastweb SpA
TelecomItaliaBusiness,IT,AS3269 Telecom Italia S.p.A.
CloudflareWarp,IN,"AS13335 Cloudflare, Inc."
VodafoneItalia,IT,AS30722 Vodafone Italia S.p.A.
WindTre,IT,AS1267 WIND TRE S.P.A.
